cell_type,mean_flight,mean_ground,mean_diff,pvalue,n_flight,n_ground,padj
stem_9,0.04723186858755041,0.034877224749814875,0.012354643837735532,1.3912508912800683e-05,62,62,0.002545989131042525
seed_425d_7,0.00044955993678259305,0.0,0.00044955993678259305,0.00029557759866569833,62,62,0.027045350277911398
silique_20,0.014625942050972401,0.007285256391233335,0.007340685659739066,0.0004880896453117029,62,62,0.029773468364013875
seedling_15d_18,0.06684378948128711,0.06121906053611139,0.005624728945175718,0.002478742639322452,62,62,0.11340247574900218
seed_3d_13,0.011783596753817299,0.007771651432838499,0.0040119453209788,0.004102562875328108,62,62,0.15015380123700878
rosette_21d_6,0.0002511070311556984,0.0,0.0002511070311556984,0.006830413897307746,62,62,0.20832762386788625
seedling_9d_18,0.008448815342815531,0.013782884587841443,-0.005334069245025911,0.016617143051373157,62,62,0.43441959691446963
silique_9,0.0065016763147104925,0.005864978115939506,0.0006366981987709864,0.02212954236339497,62,62,0.5062132815626599
seed_425d_14,0.0,0.0009289557840259789,-0.0009289557840259789,0.043764201455725536,62,62,0.8898720962664193
silique_16,0.003969097937869681,0.006408593978045171,-0.00243949604017549,0.04951348809115718,62,62,0.9060968320681765
flower_7,0.0,0.0,0.0,1.0,62,62,1.0
flower_6,0.0,0.0,0.0,1.0,62,62,1.0
flower_5,0.0,0.0,0.0,1.0,62,62,1.0
flower_12,0.0,0.0,0.0,1.0,62,62,1.0
flower_10,0.0,0.0,0.0,1.0,62,62,1.0
flower_0,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_10,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_11,0.010240033890076291,0.011580217488087872,-0.0013401835980115812,0.8761834648306117,62,62,1.0
rosette_21d_13,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_12,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_15,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_16,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_17,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_14,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_2,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_3,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_4,0.0,0.0,0.0,1.0,62,62,1.0
flower_8,0.0,0.0,0.0,1.0,62,62,1.0
flower_9,0.05339467056939349,0.05258242958010025,0.0008122409892932364,0.35391754994452496,62,62,1.0
flower_2,0.0,0.0,0.0,1.0,62,62,1.0
flower_3,0.0,0.0,0.0,1.0,62,62,1.0
flower_1,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_0,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_1,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_11,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_10,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_13,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_14,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_15,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_12,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_2,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_3,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_4,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_5,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_6,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_7,0.0,0.0,0.0,1.0,62,62,1.0
rosette_30d_8,0.0,0.0,0.0,1.0,62,62,1.0
