cell_type,mean_flight,mean_ground,mean_diff,pvalue,n_flight,n_ground,padj
rosette_30d_16,0.03630063830701902,0.0382297083470112,-0.0019290700399921812,0.36023540541134913,62,62,1.0
rosette_30d_9,0.009843353091549833,0.009734886218004989,0.00010846687354484387,0.8781474690433393,62,62,1.0
seed_3d_0,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_10,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_1,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_11,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_12,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_14,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_15,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_16,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_17,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_2,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_5,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_7,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_0,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_1,0.0,0.0,0.0,1.0,62,62,1.0
flower_11,0.022582425082671085,0.02209690948556695,0.00048551559710413583,0.2392405326707484,62,62,1.0
seed_3d_7,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_6,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_5,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_8,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_10,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_11,0.028172534676246214,0.02522685297069959,0.002945681705546623,0.14617617362237112,62,62,1.0
seed_425d_0,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_9,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_13,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_15,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_16,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_2,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_3,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_4,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_12,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_1,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_6,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_5,0.1063822116893039,0.1114386240378171,-0.005056412348513201,0.18623084948221713,62,62,1.0
seed_425d_9,0.0,0.0,0.0,1.0,62,62,1.0
seed_425d_8,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_1,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_10,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_11,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_0,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_12,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_13,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_15,0.10523400762525582,0.10483152002600937,0.00040248759924645106,0.9780723546473497,62,62,1.0
seedling_15d_14,0.04259162647224672,0.05460832535505743,-0.012016698882810706,0.17484682685269481,62,62,1.0
seedling_15d_16,0.08920616752310562,0.08626656196873116,0.002939605554374461,0.4025565144817932,62,62,1.0
seedling_15d_17,0.0069201398004136465,0.015401986225321641,-0.008481846424907995,0.37086902217211626,62,62,1.0
seedling_15d_2,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_3,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_4,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_5,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_6,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_7,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_8,0.0,0.0,0.0,1.0,62,62,1.0
seedling_15d_9,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_0,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_1,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_10,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_11,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_12,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_13,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_14,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_15,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_16,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_17,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_2,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_3,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_4,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_5,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_6,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_7,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_8,0.0,0.0,0.0,1.0,62,62,1.0
seedling_6d_9,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_0,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_1,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_10,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_3,0.0,0.0,0.0,1.0,62,62,1.0
seed_3d_4,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_8,0.0,0.0,0.0,1.0,62,62,1.0
rosette_21d_9,0.0,0.0,0.0,1.0,62,62,1.0
flower_4,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_15,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_14,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_13,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_12,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_11,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_3,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_2,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_16,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_6,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_7,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_8,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_9,0.0,0.0,0.0,1.0,62,62,1.0
silique_0,0.0,0.0,0.0,1.0,62,62,1.0
silique_1,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_17,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_19,0.0,0.0,0.0,1.0,62,62,1.0
silique_11,0.0,0.0,0.0,1.0,62,62,1.0
silique_10,0.0,0.0,0.0,1.0,62,62,1.0
silique_14,0.029542796020591386,0.02908067619459447,0.0004621198259969171,0.553722262159531,62,62,1.0
silique_12,0.03249541194369073,0.02834528782666455,0.004150124117026182,0.17326387841077295,62,62,1.0
silique_15,0.024123613321398018,0.02509219686029621,-0.000968583538898192,0.5437289149371491,62,62,1.0
silique_17,0.0,0.0,0.0,1.0,62,62,1.0
silique_18,0.00041842471737104677,0.00019744412019172096,0.0002209805971793258,0.4436712165212149,62,62,1.0
silique_13,0.07501463774903384,0.07706132580413158,-0.0020466880550977368,0.5142976892047749,62,62,1.0
silique_19,0.02085153303465662,0.02108183855308516,-0.00023030551842853977,0.43122908692320994,62,62,1.0
silique_2,0.0,0.0,0.0,1.0,62,62,1.0
silique_21,1.7897287388391935e-05,0.0,1.7897287388391935e-05,0.3251789600065279,62,62,1.0
silique_22,0.0005052488654738016,0.0004861076715882952,1.9141193885506417e-05,0.8509043875166946,62,62,1.0
silique_23,0.0,0.0,0.0,1.0,62,62,1.0
silique_24,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_4,0.0,0.0,0.0,1.0,62,62,1.0
seedling_9d_5,0.0,0.0,0.0,1.0,62,62,1.0
silique_26,0.0002904720043547936,1.4918988117464516e-05,0.0002755530162373291,0.30367734376452094,62,62,1.0
silique_25,0.012419207402785758,0.019874456243966578,-0.007455248841180821,0.06375090334608793,62,62,1.0
silique_5,0.0,0.00013552897064365323,-0.00013552897064365323,0.3251789600065279,62,62,1.0
silique_3,0.0,0.0,0.0,1.0,62,62,1.0
silique_6,0.07072869416456568,0.06017909082146339,0.010549603343102287,0.4825953510228941,62,62,1.0
silique_7,0.001589409228961666,0.0018457419512452112,-0.0002563327222835452,0.8420353048855751,62,62,1.0
silique_8,0.0,0.0,0.0,1.0,62,62,1.0
silique_4,0.053708402348259555,0.05664112096347148,-0.002932718615211924,0.2882597254113659,62,62,1.0
stem_1,0.0,0.0,0.0,1.0,62,62,1.0
stem_10,0.0,0.0,0.0,1.0,62,62,1.0
stem_11,0.0,0.0,0.0,1.0,62,62,1.0
stem_12,0.0,0.0,0.0,1.0,62,62,1.0
stem_13,0.0,0.0,0.0,1.0,62,62,1.0
stem_14,0.0,0.0,0.0,1.0,62,62,1.0
stem_15,0.0,0.0,0.0,1.0,62,62,1.0
stem_0,0.0,0.0,0.0,1.0,62,62,1.0
stem_2,0.0,0.0,0.0,1.0,62,62,1.0
stem_3,0.0,0.0,0.0,1.0,62,62,1.0
stem_5,0.0,0.0,0.0,1.0,62,62,1.0
stem_4,0.0034778011264282294,0.005438695868195041,-0.001960894741766812,0.32029672833162526,62,62,1.0
stem_6,0.0,0.0,0.0,1.0,62,62,1.0
stem_7,0.0,0.0,0.0,1.0,62,62,1.0
stem_8,0.0038431886207964823,0.0043889418840864225,-0.0005457532632899401,0.832414295632396,62,62,1.0
