sample_id	source_repo	source_accession	organism	tissue	organ	ecotype	developmental_stage	spaceflight_condition	gravity	light_regime	tropism_type	hardware	mission	growth_temperature	genotype	assay_type	raw_file	processed_file
Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day03	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day06	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day09	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day03	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day06	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day09	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day03	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day06	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13	OSDR	OSD-120	Arabidopsis thaliana		root			Space Flight			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day00	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day03	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day06	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day09	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day13	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day03	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day06	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day09	OSDR	OSD-120	Arabidopsis thaliana		root			Ground Control			gravitropism	petri dish				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-120_unnormalized_counts.csv
