sample_id	source_repo	source_accession	organism	tissue	organ	ecotype	developmental_stage	spaceflight_condition	gravity	light_regime	tropism_type	hardware	mission	growth_temperature	genotype	assay_type	raw_file	processed_file
F03	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F08	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F13	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F18	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F23	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F28	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F33	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F38	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F43	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F48	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F53	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F58	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F63	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F68	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F73	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
F78	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS13	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS18	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS23	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS28	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS33	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS38	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS43	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS48	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS53	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS58	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS63	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS68	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS73	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
FLS78	OSDR	OSD-223	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GC01	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GC13	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GC14	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GC16	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GCS1	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GCS13	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GCS14	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GCS17	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GCS18	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
GCS2	OSDR	OSD-223	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)			InsP 5-ptase Transgenic	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-223_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.09G_Rep1	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.09G_Rep2	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.09G_Rep3	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.18G_Rep1	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.18G_Rep2	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.18G_Rep3	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.36G_Rep1	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.36G_Rep2	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.36G_Rep3	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.57G_Rep1	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.57G_Rep2	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.57G_Rep3	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_0.57G_Rep4	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_1G_Rep1	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_1G_Rep2	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_1G_Rep3	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_uG_Rep1	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_uG_Rep2	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_uG_Rep3	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
Atha_Ler-0_sl_FLT_uG_Rep4	OSDR	OSD-251	Arabidopsis thaliana		seedling	Landsberg ecotype		Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-251_unnormalized_counts.csv
SAMN06468812	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468813	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468814	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468815	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468816	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468817	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468818	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468819	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468820	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468821	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468822	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468823	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468824	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468825	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468826	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468827	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468828	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468829	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468830	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468831	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468832	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468833	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468834	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468835	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468836	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468837	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468838	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			WS	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468839	OSDR	OSD-281	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468840	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468841	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468842	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
SAMN06468844	OSDR	OSD-281	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Sku5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-281_unnormalized_counts.csv
05G4_WT_RED_Col0_03g_Rep1	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-6			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
06H4_WT_RED_Col0_03g_Rep2	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-6			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
07A5_WT_RED_Col0_03g_Rep3	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-6			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
13I4_WT_DARK_Col0_03g_Rep1	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-6			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
14J4_WT_DARK_Col0_03g_Rep2	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-6			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
15A7_WT_DARK_Col0_03g_Rep3	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-6			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
21H5_WT_RED_Col0_1g_Rep1	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Ground Control			gravitropism	European Modular Cultivation System (EMCS)	Not Applicable			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
22A6_WT_RED_Col0_1g_Rep2	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Ground Control			gravitropism	European Modular Cultivation System (EMCS)	Not Applicable			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
23B6_WT_RED_Col0_1g_Rep3	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Ground Control			gravitropism	European Modular Cultivation System (EMCS)	Not Applicable			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
30H7_WT_DARK_Col0_1g_Rep1	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Ground Control			gravitropism	European Modular Cultivation System (EMCS)	Not Applicable			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
31A8_WT_DARK_Col0_1g_Rep2	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Ground Control			gravitropism	European Modular Cultivation System (EMCS)	Not Applicable			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
32B8_WT_DARK_Col0_1g_Rep3	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Ground Control			gravitropism	European Modular Cultivation System (EMCS)	Not Applicable			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
JBA1_WT_DARK_Col0_0g_Rep1	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-4			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
JBA3_WT_RED_Col0_0g_Rep2	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-4			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
JBB1_WT_DARK_Col0_0g_Rep2	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-4			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
JBB3_WT_RED_Col0_0g_Rep3	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-4			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
JBH2_WT_RED_Col0_0g_Rep1	OSDR	OSD-314	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	European Modular Cultivation System (EMCS)	SpaceX-4			RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-314_unnormalized_counts.csv
GSM4486031	OSDR	OSD-321	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	BRIC-PDFU (Petri Dish Fixation Unit)			bzip28-2	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-321_unnormalized_counts.csv
GSM4486032	OSDR	OSD-321	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	BRIC-PDFU (Petri Dish Fixation Unit)			bzip28-2	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-321_unnormalized_counts.csv
GSM4486033	OSDR	OSD-321	Arabidopsis thaliana		seedling	Col-0		Space Flight			gravitropism	BRIC-PDFU (Petri Dish Fixation Unit)			bzip28-2	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-321_unnormalized_counts.csv
